StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Consent,Rating_1,Q26_1,Q48_1,Q220_1,Q35_1,Q39_1,Q42_1,Q223_1,Q57_1,Q63_1,Q60_1,Q226_1,Q66_1,Q69_1,Q72_1,Q229_1,Q75_1,Q78_1,Q81_1,Q232_1,Q84_1,Q87_1,Q90_1,Q235_1,Q93_1,Q97_1,Q100_1,Q238_1,Q103_1,Q106_1,Q109_1,Q241_1,Q112_1,Q115_1,Q118_1,Q244_1,Q121_1,Q124_1,Q127_1,Q247_1,Q130_1,Q133_1,Q136_1,Q250_1,Q139_1,Q142_1,Q145_1,Q253_1,Q148_1,Q151_1,Q154_1,Q256_1,Q157_1,Q160_1,Q163_1,Q259_1,Q166_1,Q169_1,Q172_1,Q262_1,Q175_1,Q178_1,Q181_1,Q277_1,Q184_1,Q187_1,Q190_1,Q274_1,Q193_1,Q196_1,Q199_1,Q271_1,Q202_1,Q205_1,Q208_1,Q268_1,Q211_1,Q214_1,Q217_1,Q265_1,PROLIFIC_PID,STUDY_ID,SESSION_ID
08/12/2023 14:37,08/12/2023 14:40,100,190,TRUE,08/12/2023 14:40,R_02ozgVqfSppd9Xb,EN,I agree,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Somewhat agree,Disagree,,,,,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat agree,,,,,Somewhat agree,Disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,5c4f839a37efdd000184e1df,65730de35c1e2d0d783d3320,65731c1152774fe562fe648c
08/12/2023 14:38,08/12/2023 14:40,100,139,TRUE,08/12/2023 14:40,R_2xVtOXuNvug2zSa,EN,I agree,,,,,,,,,Agree,Somewhat disagree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,610834993bac40f050062896,65730de35c1e2d0d783d3320,65731c584234e522468fc474
08/12/2023 14:36,08/12/2023 14:41,100,271,TRUE,08/12/2023 14:41,R_viViLm9Qz0deqNr,EN,I agree,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Disagree,Somewhat agree,Agree,,,,,Somewhat agree,Somewhat agree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Strongly disagree,Agree,602d3141c32cfe6eaa98b817,65730de35c1e2d0d783d3320,65731be3cb287cf22ac32e43
08/12/2023 14:36,08/12/2023 14:41,100,292,TRUE,08/12/2023 14:41,R_3kEURTieGuySJVu,EN,I agree,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,,,,,,,,,Strongly agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Somewhat agree,Somewhat disagree,,,,,Agree,Disagree,Strongly agree,Agree,,,,,,,,,64e244dc6653b5b199d1ef05,65730de35c1e2d0d783d3320,65731bdbddce105f2547ea27
08/12/2023 14:38,08/12/2023 14:41,100,155,TRUE,08/12/2023 14:41,R_3qJ50Qt2BqFPmnM,EN,I agree,,,,,,,,,,,,,,,,,Agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,,,,,Strongly agree,Strongly disagree,Disagree,Agree,,,,,Strongly agree,Strongly disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,Agree,Somewhat disagree,Agree,Neither agree nor disagree,,,,,,,,,Somewhat agree,Disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,6008b7087367795557f236cd,65730de35c1e2d0d783d3320,65731c661c3a77e239ffa5cb
08/12/2023 14:37,08/12/2023 14:41,100,226,TRUE,08/12/2023 14:41,R_uentoWhoxMYGIO5,EN,I agree,Agree,Agree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,,,,,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,Agree,Disagree,Somewhat agree,Somewhat disagree,,,,,5beb266167c3f40001e4c016,65730de35c1e2d0d783d3320,65731c295259899a2ec3182e
08/12/2023 14:38,08/12/2023 14:41,100,184,TRUE,08/12/2023 14:41,R_eLFdviOSH52Ov5v,EN,I agree,,,,,,,,,Strongly disagree,Disagree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,5f18a80367ef6b0bbc5f3720,65730de35c1e2d0d783d3320,65731c510c81d1e8853d36b3
08/12/2023 14:36,08/12/2023 14:41,100,299,TRUE,08/12/2023 14:41,R_2zp4CQ0HKKEzpKI,EN,I agree,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Somewhat disagree,Strongly agree,Agree,,,,,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly agree,Strongly agree,,,,,Agree,Disagree,Somewhat disagree,Neither agree nor disagree,,,,,,,,,Agree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,5f5d17f3547cf654d0eef5a0,65730de35c1e2d0d783d3320,65731be8e93462a3c9202378
08/12/2023 14:38,08/12/2023 14:41,100,208,TRUE,08/12/2023 14:41,R_1DD2a5asmhpY0Pj,EN,I agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,Agree,Somewhat disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Disagree,Somewhat disagree,,,,,,,,,Agree,Disagree,Agree,Neither agree nor disagree,,,,,5fa130532a7a3d1d62e060e0,65730de35c1e2d0d783d3320,65731c46a44425cca606c578
08/12/2023 14:38,08/12/2023 14:41,100,220,TRUE,08/12/2023 14:41,R_2VptOeMIdqpiM2F,EN,I agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,,,,,,,,,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Agree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,Somewhat agree,Strongly disagree,Agree,Agree,,,,,,,,,,,,,,,,,60805bb7e5c0b28a187c36f5,65730de35c1e2d0d783d3320,65731c46a936e0730e204446
08/12/2023 14:38,08/12/2023 14:42,100,211,TRUE,08/12/2023 14:42,R_2rYjrczNj5mw0du,EN,I agree,,,,,,,,,Disagree,Strongly disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,Agree,Somewhat agree,Agree,Strongly agree,,,,,,,,,Strongly agree,Disagree,Somewhat agree,Agree,,,,,,,,,,,,,Agree,Disagree,Somewhat agree,Somewhat disagree,,,,,,,,,,,,,,,,,Agree,Somewhat agree,Strongly disagree,Agree,5eeb40c601b1dc2907bbff74,65730de35c1e2d0d783d3320,65731c16e9aca9f28298508d
08/12/2023 14:37,08/12/2023 14:42,100,269,TRUE,08/12/2023 14:42,R_2v1RUFETHp7Svwn,EN,I agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree,Somewhat agree,,,,,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat disagree,Disagree,,,,,Disagree,Disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616870fbe8123f8396078ffb,65730de35c1e2d0d783d3320,65731c1944d726ade0dc7c7d
08/12/2023 14:36,08/12/2023 14:42,100,328,TRUE,08/12/2023 14:42,R_2RPNDLgQ7tQ4Y0k,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,,,,,,,,,Agree,Strongly disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,5c74feb7f2e90f00139516b8,65730de35c1e2d0d783d3320,65731be6d8f58d184dbc6f10
08/12/2023 14:36,08/12/2023 14:42,100,361,TRUE,08/12/2023 14:42,R_vCWyO07Hrj5jDyh,EN,I agree,Agree,Disagree,Somewhat agree,Strongly disagree,,,,,Strongly disagree,Strongly disagree,Strongly agree,Agree,,,,,,,,,Strongly disagree,Strongly disagree,Agree,Disagree,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d84d32ae404a9001acc9ab2,65730de35c1e2d0d783d3320,65731bd25c2c342148ed9923
08/12/2023 14:37,08/12/2023 14:42,100,275,TRUE,08/12/2023 14:42,R_2dXvXnBVaOOoaTt,EN,I agree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Agree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,5f01b7e94738d231487f2911,65730de35c1e2d0d783d3320,65731c2c87a36c105b46ecc6
08/12/2023 14:38,08/12/2023 14:42,100,262,TRUE,08/12/2023 14:42,R_1C3cUsbv2YNMw1r,EN,I agree,,,,,,,,,Strongly disagree,Strongly disagree,Agree,Somewhat disagree,,,,,,,,,Disagree,Strongly disagree,Agree,Somewhat agree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Strongly disagree,Agree,61274527ec23eb86f8355013,65730de35c1e2d0d783d3320,65731c22563027adb8f233de
08/12/2023 14:37,08/12/2023 14:42,100,271,TRUE,08/12/2023 14:42,R_2Y4VHIvYUKSBGQ8,EN,I agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Somewhat agree,,,,,Disagree,Disagree,Agree,Disagree,,,,,,,,,Disagree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,611ccc54789ee14327d448c2,65730de35c1e2d0d783d3320,65731c254234e522468fc467
08/12/2023 14:37,08/12/2023 14:42,100,341,TRUE,08/12/2023 14:42,R_2AMcRCYGEnktIZI,EN,I agree,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Somewhat agree,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Strongly agree,,,,,,,,,Agree,Strongly disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,,,,,5c702165e559500001d1f0e3,65730de35c1e2d0d783d3320,65731bc0a7c4a9efc6bc6e1d
08/12/2023 14:38,08/12/2023 14:42,100,270,TRUE,08/12/2023 14:42,R_1CfRjcqUDqNnskr,EN,I agree,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,,,,Somewhat agree,Disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,,,,,,,,,,,,,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f08f3e3ff3278174e40069b,65730de35c1e2d0d783d3320,65731c4709e2919a96fb87e8
08/12/2023 14:38,08/12/2023 14:42,100,277,TRUE,08/12/2023 14:42,R_2VpwsBxLE6Y7JEZ,EN,I agree,,,,,Somewhat agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly agree,Strongly agree,,,,,Strongly agree,Disagree,Agree,Strongly agree,,,,,,,,,,,,,Agree,Somewhat disagree,Strongly agree,Strongly agree,,,,,,,,,Strongly agree,Agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,6131c2966e4e89d66eb94147,65730de35c1e2d0d783d3320,65731c3c68522c9c6b06a959
08/12/2023 14:38,08/12/2023 14:43,100,284,TRUE,08/12/2023 14:43,R_28D44Ci7LMGyfuB,EN,I agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,,,,,Neither agree nor disagree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6172a1d4cffa5162140cc8c2,65730de35c1e2d0d783d3320,65731c10cdfa6a5cafdf84d8
08/12/2023 14:38,08/12/2023 14:43,100,312,TRUE,08/12/2023 14:43,R_2ahGOXqZwII7Yuk,EN,I agree,,,,,,,,,Somewhat agree,Somewhat agree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,Disagree,Somewhat disagree,Disagree,Somewhat disagree,,,,,,,,,Somewhat agree,Disagree,Agree,Somewhat agree,,,,,5d46c24832ed2d0016267e59,65730de35c1e2d0d783d3320,65731c4875f2f4dae500d68a
08/12/2023 14:39,08/12/2023 14:44,100,272,TRUE,08/12/2023 14:44,R_1jIItnL8VzzsfC7,EN,I agree,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Disagree,Agree,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,,,,,Agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,,,,,Disagree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat disagree,,,,,,,,,,,,,,,,,6151be9cd63f6bdec7c63fc6,65730de35c1e2d0d783d3320,65731b7ceef9d6c28fa758bc
08/12/2023 14:35,08/12/2023 14:44,100,517,TRUE,08/12/2023 14:44,R_31mVOXOo5AfcePf,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,Strongly agree,Somewhat disagree,Strongly disagree,Agree,,,,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,,,,61606315426633c4cd2431bd,65730de35c1e2d0d783d3320,65731b97bb9e2c7833c77892
08/12/2023 14:37,08/12/2023 14:44,100,398,TRUE,08/12/2023 14:44,R_3QKa1eKKj1L9cuZ,EN,I agree,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Agree,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Disagree,Strongly agree,,,,,Agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,Strongly agree,Neither agree nor disagree,Agree,Agree,,,,,,,,,,,,,,,,,6026942b12642b351e3cf8ac,65730de35c1e2d0d783d3320,65731c13e2dd5b0d3947ea59
08/12/2023 14:38,08/12/2023 14:44,100,346,TRUE,08/12/2023 14:44,R_C3umCg1N0de3bI5,EN,I agree,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,,,,,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,,,,,,59f239e8cc514a00011a66fb,65730de35c1e2d0d783d3320,65731c4ba064f5e7eda81bec
08/12/2023 14:34,08/12/2023 14:44,100,595,TRUE,08/12/2023 14:44,R_3hEAHOS2A7WH0Kz,EN,I agree,,,,,,,,,,,,,Agree,Strongly disagree,Strongly agree,Agree,,,,,Disagree,Strongly disagree,Strongly agree,Somewhat agree,,,,,Strongly agree,Somewhat agree,Agree,Strongly agree,,,,,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,,,,,,,,,Strongly disagree,Disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59ee565b6100f9000194abbf,65730de35c1e2d0d783d3320,65731b5bd93e5b85fed1bed8
08/12/2023 14:38,08/12/2023 14:44,100,363,TRUE,08/12/2023 14:44,R_3g7WGaoyyuqsTf4,EN,I agree,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,,,,,,,,,,,,,Agree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,Agree,Strongly disagree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,,,,,,,,,60e1e24c2cefa1327bb77476,65730de35c1e2d0d783d3320,65731c42d954b5f06c982684
08/12/2023 14:36,08/12/2023 14:44,100,473,TRUE,08/12/2023 14:44,R_2Xj8HjI5hy3Whp9,EN,I agree,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Agree,,,,,Agree,Disagree,Agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,Agree,Somewhat disagree,Strongly agree,Agree,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Agree,Disagree,,,,,,,,,60172479af1cb7951a747a77,65730de35c1e2d0d783d3320,65731be4c648aa0d5e285317
08/12/2023 14:37,08/12/2023 14:44,100,413,TRUE,08/12/2023 14:44,R_cUa914ETnGKdPOx,EN,I agree,,,,,,,,,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,,,,,Agree,Strongly disagree,Strongly agree,Agree,,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,60ca6cf4fb84a3c8c377b3ae,65730de35c1e2d0d783d3320,65731c235c2c342148ed9936
08/12/2023 14:36,08/12/2023 14:44,100,527,TRUE,08/12/2023 14:45,R_6EhBU5hlKoQAh8J,EN,I agree,Strongly agree,Disagree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Somewhat agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Strongly agree,,,,,,,,,,,,,648cd005d03cc0e8da044de6,65730de35c1e2d0d783d3320,65731bbe1e8862df6fa1f9e9
08/12/2023 14:38,08/12/2023 14:45,100,396,TRUE,08/12/2023 14:45,R_ZKbLRGI54kQkUkF,EN,I agree,,,,,,,,,,,,,Agree,Strongly disagree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat disagree,,,,,,,,,,,,,Strongly agree,Strongly disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,,,,,,,,,,,,,Disagree,Disagree,Agree,Somewhat agree,,,,,,,,,5c93e498b2648a0015255cf7,65730de35c1e2d0d783d3320,65731c4f164da6575df258fd
08/12/2023 14:37,08/12/2023 14:45,100,446,TRUE,08/12/2023 14:45,R_10HuDtBF3B841EZ,EN,I agree,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Agree,Strongly agree,,,,,Agree,Somewhat disagree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Disagree,Strongly disagree,Agree,613089fe17e00d89f1b6bf59,65730de35c1e2d0d783d3320,65731c1e5aaa6fe1a29e4ac7
08/12/2023 14:37,08/12/2023 14:45,100,476,TRUE,08/12/2023 14:45,R_1B4yUUE0V8ALiKd,EN,I agree,,,,,Strongly agree,Agree,Somewhat disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Disagree,Somewhat agree,,,,,,,,,Agree,Strongly disagree,Disagree,Somewhat agree,,,,,,,,,,,,,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,5edad7d6f848291823c5f99c,65730de35c1e2d0d783d3320,65731c12d97aa330507a84ae
08/12/2023 14:36,08/12/2023 14:46,100,555,TRUE,08/12/2023 14:46,R_1eQsjv8ZkprGEJD,EN,I agree,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,,,,,Somewhat disagree,Strongly disagree,Disagree,Disagree,,,,,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Agree,Neither agree nor disagree,,,,,,,,,Agree,Strongly disagree,Somewhat agree,Strongly disagree,,,,,61548e0802f80efd7e7a3f99,65730de35c1e2d0d783d3320,65731bcfbf22f066c0a33873
08/12/2023 14:38,08/12/2023 14:46,100,528,TRUE,08/12/2023 14:46,R_r9gA7dU4tV5kGoV,EN,I agree,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Somewhat agree,Agree,,,,,,,,,,,,,Agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,Strongly agree,Disagree,Agree,Agree,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Somewhat agree,Agree,,,,,,,,,6142798bfbec310977eeeae2,65730de35c1e2d0d783d3320,65731c154d1080cd9c53a972
08/12/2023 14:35,08/12/2023 14:47,100,715,TRUE,08/12/2023 14:47,R_1dbGzzcmHaYeUj2,EN,I agree,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,,,,,,,,,Somewhat agree,Strongly disagree,Disagree,Strongly disagree,,,,,Agree,Strongly disagree,Strongly agree,Strongly disagree,,,,,,,,,,,,,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,61279625ac5cfd3b49d36c2d,65730de35c1e2d0d783d3320,65731b7c5ce9d57f8c53dc2b
08/12/2023 14:38,08/12/2023 14:48,100,598,TRUE,08/12/2023 14:48,R_eK7PRGT5h49jvEt,EN,I agree,Agree,Disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat disagree,Agree,,,,,,,,,Agree,Neither agree nor disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,,,,6153fbefd17cade93160d2e6,65730de35c1e2d0d783d3320,65731c32ce2fe0a3c78da60d
08/12/2023 14:37,08/12/2023 14:48,100,639,TRUE,08/12/2023 14:48,R_A6BSIysQFX7IXYt,EN,I agree,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,,Strongly agree,Disagree,Disagree,Somewhat disagree,,,,,,,,,6165b0ed9861718fa8ba8ae5,65730de35c1e2d0d783d3320,65731c160b3ff6af4dfe8f99
08/12/2023 14:45,08/12/2023 14:49,100,241,TRUE,08/12/2023 14:49,R_12rIJ9OnDYE20AG,EN,I agree,Strongly agree,Strongly disagree,Somewhat disagree,Disagree,,,,,,,,,Agree,Strongly disagree,Strongly agree,Agree,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,,,,,,,,,,,,,,,,,5df6542c1e2e5844f407f08a,65730de35c1e2d0d783d3320,65731de9a7d6c170b0dcadfd
08/12/2023 14:35,08/12/2023 14:49,100,838,TRUE,08/12/2023 14:49,R_1lfSRT2R0MVAIdr,EN,I agree,Strongly agree,Somewhat disagree,Somewhat agree,Agree,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Disagree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,,,,,,,,Strongly agree,Strongly disagree,Disagree,Strongly agree,615200d54efc832849db2259,65730de35c1e2d0d783d3320,65731ba8f469fa3f768d8a93
08/12/2023 14:35,08/12/2023 14:50,100,912,TRUE,08/12/2023 14:50,R_1lgEXRENNqerl9N,EN,I agree,,,,,,,,,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,,,,,,,,,,,,,,,,,Agree,Somewhat agree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,,617668ba30fe0e01aea3f928,65730de35c1e2d0d783d3320,65731b58d954b5f06c982652
